Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Labels,Story Points
Epic,Discovery,"This epic covers all discovery activities required to establish clear project vision, gather stakeholder requirements, define user roles and permissions, create user journeys and wireframes, and publish a signed-off Software Requirements Specification (SRS) and initial backlog. Successful completion of this epic is a prerequisite for all implementation epics.",Discovery,,Medium,discovery,
Epic,Project Foundation & Infrastructure Setup,"This epic establishes the foundational technical infrastructure and project scaffolding. It includes setting up the Flutter mobile application structure, configuring environment variables for dev/test/prod, establishing authentication and API schema foundations, implementing a CI/CD pipeline, and enabling logging and monitoring. These components underpin all subsequent development work.",Project Foundation & Infrastructure Setup,,Medium,"infrastructure,foundation",
Epic,Authentication & Agent Account Management,"This epic delivers secure agent authentication and account management capabilities. It includes agent login with credential validation, self-service password reset, agent profile management, and role-based access control enforcement to ensure agents and admins can only access permitted features.",Authentication & Agent Account Management,,Medium,"authentication,security",
Epic,Booking Request Creation,"This epic enables real estate agents to create photography booking requests through a multi-step form. It covers initiating a booking request, entering property address and details, selecting preferred date and time, choosing from available service packages, adding optional notes, and receiving submission confirmation with booking reference details.",Booking Request Creation,,Medium,"booking,agent",
Epic,Booking Tracking & Status Management,"This epic provides agents with full visibility into their booking requests. It covers viewing a list of all current and historical bookings, accessing detailed booking information, tracking real-time status changes, and reviewing the full booking event history in chronological order.",Booking Tracking & Status Management,,Medium,"booking,tracking",
Epic,Admin Booking Management Portal,"This epic delivers the operations team's admin portal for managing photography bookings. It includes a summary dashboard with booking metrics, a queue for reviewing incoming requests, tools to update booking statuses, the ability to add internal operational notes, and search/filter capabilities to locate specific booking records efficiently.",Admin Booking Management Portal,,Medium,"admin,booking",
Epic,Messaging & Notifications,"This epic covers in-platform messaging and automated notification delivery. It includes agent enquiry submission against bookings, booking confirmation notifications to agents, status-change alerts, and email notifications triggered by key booking lifecycle events for consistent and auditable communication.",Messaging & Notifications,,Medium,"messaging,notifications",
Epic,"Services, Packages & Pricing Rules","This epic enables admin management of the service catalogue, package configuration, and pricing rules. It covers creating and editing service offerings, configuring bundled service packages, applying special pricing for negotiated agent accounts, and displaying a line-item pricing breakdown to agents before booking submission.","Services, Packages & Pricing Rules",,Medium,"services,pricing",
Epic,Floor Plan Upload & Barfoot Integration,"This epic delivers the floor plan upload workflow and integration with Barfoot & Thompson's listing platform. It covers uploading floor plan image files, entering a Barfoot listing ID for mapping, pushing the floor plan to the target listing's media tabs, replacing an existing floor plan, and validating API access and integration testing.",Floor Plan Upload & Barfoot Integration,,Medium,"integration,barfoot",
Epic,Ubookr Third-Party Integration,"This epic covers the assessment and implementation of optional data sync with the Ubookr third-party booking platform. It includes discovering integration requirements and feasibility, implementing booking data synchronization, and handling integration errors with appropriate logging and manual follow-up support. This is an optional delivery phase.",Ubookr Third-Party Integration,,Medium,"integration,ubookr",
Epic,"QA, UAT & Release Readiness","This epic ensures the platform meets quality and acceptance standards before launch. It covers executing functional and device compatibility testing, remediating defects identified during QA and UAT, performing formal user acceptance testing with business stakeholders, and completing a release readiness checklist to confirm all launch prerequisites are satisfied.","QA, UAT & Release Readiness",,Medium,"qa,uat,testing",
Epic,Launch & Deployment,"This epic covers the final production deployment and go-live activities. It includes deploying the application to the production environment, providing active go-live monitoring and support to stabilize the platform during launch, and preparing handover documentation including runbooks, support contacts, and operational procedures for the ongoing operations team.",Launch & Deployment,,Medium,"launch,deployment",
