Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria:),Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Amount),Custom field (Approvals),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Audience),Custom field (Campaign assets),Custom field (Campaign goals),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Design file),Custom field (Design file),Custom field (Designs ready),Custom field (Designs ready),Custom field (Details),Custom field (Development),Custom field (Documents),Custom field (Documents),Custom field (Effort),Custom field (Effort),Custom field (Environment),Custom field (Environment),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Error Handling),Custom field (Error Handling),Custom field (Error Handling),Custom field (Error Handling),Custom field (Focus Areas),Custom field (Format),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Impact),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Pending reason),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project start),Custom field (Project target),Custom field (Project target),Custom field (Rank),Custom field (Related projects),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Roadmap),Custom field (Roadmap),Satisfaction rating,Custom field (Satisfaction date),Custom field (Score),Custom field (Score),Custom field (Sentiment),Custom field (Start date),Custom field (State),Custom field (State),Custom field (Steps to reproduce),Custom field (Steps to reproduce),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Type),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Discovery,DAN-13,10625,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,27/Apr/26 9:40 PM,,,0,discovery,"This epic covers all discovery activities required to establish clear project vision, gather stakeholder requirements, define user roles and permissions, create user journeys and wireframes, and publish a signed-off Software Requirements Specification (SRS) and initial backlog. Successful completion of this epic is a prerequisite for all implementation epics.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7dc8d894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001q7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
Project Foundation & Infrastructure Setup,DAN-14,10626,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,,,,0,"infrastructure,foundation","This epic establishes the foundational technical infrastructure and project scaffolding. It includes setting up the Flutter mobile application structure, configuring environment variables for dev/test/prod, establishing authentication and API schema foundations, implementing a CI/CD pipeline, and enabling logging and monitoring. These components underpin all subsequent development work.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@65b07bf6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001qf:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
Authentication & Agent Account Management,DAN-15,10627,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,27/Apr/26 9:27 PM,,,0,"authentication,security","This epic delivers secure agent authentication and account management capabilities. It includes agent login with credential validation, self-service password reset, agent profile management, and role-based access control enforcement to ensure agents and admins can only access permitted features.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4e9ff98d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001qn:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
Booking Request Creation,DAN-16,10628,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,,,,0,"booking,agent","This epic enables real estate agents to create photography booking requests through a multi-step form. It covers initiating a booking request, entering property address and details, selecting preferred date and time, choosing from available service packages, adding optional notes, and receiving submission confirmation with booking reference details.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4e6d982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001qv:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
Booking Tracking & Status Management,DAN-17,10629,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,,,,0,"booking,tracking","This epic provides agents with full visibility into their booking requests. It covers viewing a list of all current and historical bookings, accessing detailed booking information, tracking real-time status changes, and reviewing the full booking event history in chronological order.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5ec97555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001r3:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
Admin Booking Management Portal,DAN-18,10630,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,,,,0,"admin,booking","This epic delivers the operations team's admin portal for managing photography bookings. It includes a summary dashboard with booking metrics, a queue for reviewing incoming requests, tools to update booking statuses, the ability to add internal operational notes, and search/filter capabilities to locate specific booking records efficiently.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6cd18b84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001rb:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
Messaging & Notifications,DAN-19,10631,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,,,,0,"messaging,notifications","This epic covers in-platform messaging and automated notification delivery. It includes agent enquiry submission against bookings, booking confirmation notifications to agents, status-change alerts, and email notifications triggered by key booking lifecycle events for consistent and auditable communication.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6fabac90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001rj:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
"Services, Packages & Pricing Rules",DAN-20,10632,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,,,,0,"services,pricing","This epic enables admin management of the service catalogue, package configuration, and pricing rules. It covers creating and editing service offerings, configuring bundled service packages, applying special pricing for negotiated agent accounts, and displaying a line-item pricing breakdown to agents before booking submission.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5a5f0868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001rr:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
Floor Plan Upload & Barfoot Integration,DAN-21,10633,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,27/Apr/26 9:38 PM,,,0,"integration,barfoot","This epic delivers the floor plan upload workflow and integration with Barfoot & Thompson's listing platform. It covers uploading floor plan image files, entering a Barfoot listing ID for mapping, pushing the floor plan to the target listing's media tabs, replacing an existing floor plan, and validating API access and integration testing.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7a432869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001rz:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
Ubookr Third-Party Integration,DAN-22,10634,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,,,,0,"integration,ubookr","This epic covers the assessment and implementation of optional data sync with the Ubookr third-party booking platform. It includes discovering integration requirements and feasibility, implementing booking data synchronization, and handling integration errors with appropriate logging and manual follow-up support. This is an optional delivery phase.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4c80c8c4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001s7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
